driver_name,sg_race_count,sg_win_count,sg_avg_finish,sg_last3_avg_finish,sg_last3_podiums,team_name,team_sg_winrate
Fernando Alonso,11,2,5.0,10.0,0,Ferrari,0.14285714285714285
Nico Rosberg,8,1,4.875,3.0,1,Mercedes,0.18181818181818182
Lewis Hamilton,12,4,3.5,6.0,1,Mercedes,0.18181818181818182
Timo Glock,3,0,6.0,6.0,1,Toyota,0.0
Sebastian Vettel,12,5,2.8333333333333335,4.0,2,Red Bull,0.14814814814814814
Nick Heidfeld,1,0,6.0,6.0,0,BMW Sauber,0.0
David Coulthard,1,0,7.0,7.0,0,Red Bull,0.14814814814814814
Kazuki Nakajima,2,0,8.5,8.5,0,Williams,0.0
Jenson Button,6,0,4.833333333333333,3.6666666666666665,2,McLaren,0.08695652173913043
Heikki Kovalainen,5,0,12.8,15.666666666666666,0,McLaren,0.08695652173913043
Robert Kubica,4,0,10.5,10.333333333333334,0,BMW Sauber,0.0
Sébastien Bourdais,1,0,12.0,12.0,0,Toro Rosso,0.0
Felipe Massa,8,0,9.0,9.333333333333334,0,Ferrari,0.14285714285714285
Giancarlo Fisichella,2,0,13.5,13.5,0,Force India,0.0
Kimi Räikkönen,8,0,6.75,4.0,1,Ferrari,0.14285714285714285
Rubens Barrichello,3,0,8.333333333333334,8.333333333333334,0,Williams,0.0
Jarno Trulli,1,0,12.0,12.0,0,Toyota,0.0
Vitantonio Liuzzi,2,0,17.0,17.0,0,Force India,0.0
Mark Webber,4,0,8.0,9.666666666666666,1,Red Bull,0.14814814814814814
Adrian Sutil,3,0,9.0,9.0,0,Force India,0.0
Nico Hülkenberg,8,0,10.375,10.333333333333334,0,Force India,0.0
Vitaly Petrov,3,0,15.666666666666666,15.666666666666666,0,Renault,0.07692307692307693
Jaime Alguersuari,2,0,16.5,16.5,0,Toro Rosso,0.0
Michael Schumacher,1,0,13.0,13.0,0,Mercedes,0.18181818181818182
Sébastien Buemi,2,0,13.0,13.0,0,Toro Rosso,0.0
Lucas di Grassi,1,0,15.0,15.0,0,Virgin,0.0
Paul di Resta,3,0,10.0,10.0,0,Force India,0.0
Sergio Pérez,11,1,8.181818181818182,6.333333333333333,1,Force India,0.0
Pastor Maldonado,4,0,11.5,11.666666666666666,0,Williams,0.0
Kamui Kobayashi,2,0,13.5,13.5,0,Sauber,0.0
Bruno Senna,2,0,16.5,16.5,0,Renault,0.07692307692307693
Jérôme d'Ambrosio,1,0,18.0,18.0,0,Virgin,0.0
Daniel Ricciardo,10,0,8.0,12.333333333333334,0,Red Bull,0.14814814814814814
Romain Grosjean,6,0,11.333333333333334,11.666666666666666,0,Lotus F1,0.0
Charles Pic,2,0,17.5,17.5,0,Marussia,0.0
Pedro de la Rosa,1,0,17.0,17.0,0,HRT,0.0
Esteban Gutiérrez,2,0,11.5,11.5,0,Sauber,0.0
Valtteri Bottas,8,0,8.5,10.666666666666666,0,Williams,0.0
Jean-Éric Vergne,2,0,10.0,10.0,0,Toro Rosso,0.0
Giedo van der Garde,1,0,16.0,16.0,0,Caterham,0.0
Max Chilton,2,0,17.0,17.0,0,Marussia,0.0
Jules Bianchi,2,0,17.0,17.0,0,Marussia,0.0
Kevin Magnussen,7,0,13.714285714285714,13.666666666666666,0,Haas F1 Team,0.0
Daniil Kvyat,4,0,11.0,10.0,0,Toro Rosso,0.0
Marcus Ericsson,4,0,13.5,13.0,0,Sauber,0.0
Max Verstappen,7,0,4.714285714285714,4.666666666666667,1,Red Bull,0.14814814814814814
Carlos Sainz,8,1,7.25,3.6666666666666665,2,Toro Rosso,0.0
Felipe Nasr,2,0,11.5,11.5,0,Sauber,0.0
Alexander Rossi,1,0,14.0,14.0,0,Manor Marussia,0.0
Will Stevens,1,0,15.0,15.0,0,Manor Marussia,0.0
Jolyon Palmer,2,0,10.5,10.5,0,Renault,0.07692307692307693
Pascal Wehrlein,2,0,14.0,14.0,0,Manor Marussia,0.0
Esteban Ocon,3,0,13.666666666666666,13.666666666666666,0,Manor Marussia,0.0
Stoffel Vandoorne,2,0,9.5,9.5,0,McLaren,0.08695652173913043
Lance Stroll,5,0,11.0,11.0,0,Williams,0.0
Charles Leclerc,5,0,4.4,3.6666666666666665,1,Ferrari,0.14285714285714285
Pierre Gasly,5,0,10.8,11.0,0,Toro Rosso,0.0
Brendon Hartley,1,0,17.0,17.0,0,Toro Rosso,0.0
Sergey Sirotkin,1,0,19.0,19.0,0,Williams,0.0
Alexander Albon,2,0,8.5,8.5,0,Red Bull,0.14814814814814814
Lando Norris,4,1,3.5,2.3333333333333335,2,McLaren,0.08695652173913043
Antonio Giovinazzi,1,0,10.0,10.0,0,Alfa Romeo,0.0
Mick Schumacher,1,0,13.0,13.0,0,Haas F1 Team,0.0
George Russell,3,0,11.333333333333334,11.333333333333334,0,Mercedes,0.18181818181818182
Oscar Piastri,2,0,5.0,5.0,1,McLaren,0.08695652173913043
Liam Lawson,1,0,9.0,9.0,0,AlphaTauri,0.0
Guanyu Zhou,2,0,13.5,13.5,0,Alfa Romeo,0.0
Logan Sargeant,1,0,14.0,14.0,0,Williams,0.0
Franco Colapinto,1,0,11.0,11.0,0,Williams,0.0
Yuki Tsunoda,1,0,12.0,12.0,0,RB F1 Team,0.0
